date,precip_mm,runoff_mm,snow_depth_m,snowfall_mm_we,solar_radiation_mj_m2,system:time_start,temp_max_c,temp_mean_c,temp_min_c,observation_count,missing_data_flag,precip_3d_mm,precip_7d_mm,precip_30d_mm,positive_degree_days,freeze_thaw_cycle,month_day,temp_anomaly_c
1995-05-30,0.6378721249179049,5.419296238054951,2.979856021745983,0.010482551376640083,27.202503701618586,801792000000,7.966706547478762,3.629302790778502,-2.3067552796054214,1,False,1.5490363195296093,3.018105800986195,137.24721621400897,3.629302790778502,1,05-30,0.6808950788138084
1995-05-31,0.5251090838890983,5.684261901709163,2.9658922718467773,0.0035627840124830908,28.869731332864184,801878400000,8.859794821796267,4.00066211323715,-2.0759417464748,1,False,1.7268575029521491,2.8024547394749746,136.97116372042873,4.00066211323715,1,05-31,0.966433629493952
1995-06-01,0.9041941256092821,5.223801780300691,2.952968811278552,0.0005769756354554115,27.823727453905697,801964800000,9.098084001856593,4.354853715478292,-2.275085968941029,1,False,2.067175334416264,3.3662893447389894,137.17461456039646,4.354853715478292,1,06-01,1.2054959410814035
1995-06-02,1.4757775729423546,5.192469262808331,2.9408269815536667,0.010586939463726153,27.0186773497537,802051200000,9.550564981094157,5.242470835632736,-1.445782767073671,1,False,2.905080782440714,4.536930001199872,138.31925572742787,5.242470835632736,1,06-02,2.042157953573246
1995-06-03,2.2225260535202995,3.8749074784909068,2.930133043754948,0.00231628051259667,24.630712983814213,802137600000,10.762011062654308,6.334786126022482,0.6321230153480666,1,False,4.6024977520719155,6.676643155490693,139.95600645722047,6.334786126022482,0,06-03,2.716411121116102
1995-06-04,8.337019266357423,4.207647545164862,2.9221426211917967,2.714664394129002e-05,22.46082472202674,802224000000,11.091820988396728,7.620325608581239,2.7135394252747798,1,False,12.035322892820057,14.666374521381558,147.32241378160762,7.620325608581239,0,06-04,3.8363484460427117
1995-06-05,18.060033324316805,7.376566623651504,2.9166981506705594,0.07608729787564125,20.29728612104152,802310400000,10.939850026398481,7.862285417775573,4.54833787438907,1,False,28.619578644194508,32.162531551553194,164.81033826780532,7.862285417775573,0,06-05,4.035737357094791
1995-06-06,10.017286834424752,5.322509274190785,2.913339828287187,0.03345135040974466,16.786194219563686,802396800000,11.765194291954412,8.322426741777017,5.286527968963066,1,False,36.41433942509896,41.54194626106004,173.88541372767014,8.322426741777017,0,06-06,4.33255794969967
1995-06-07,12.441341525377508,7.020078720046465,2.9102360982445243,0.00280764197732763,18.727025866291342,802483200000,12.098741171378494,8.391759563001335,6.620767952840508,1,False,40.518661684119046,53.45817870254845,185.06521706749996,8.391759563001335,0,06-07,4.079172351184739
1995-06-08,9.368196427521436,5.561231261277852,2.9075678181765703,0.0,20.049744577058412,802569600000,12.58824547613953,8.70976052960964,6.400120483226651,1,False,31.826824787323673,61.922181004460604,190.6061124140835,8.70976052960964,0,06-08,4.03064717347679
1995-06-09,13.67350144125309,7.445955490411629,2.9052070333117084,0.001596728632099439,17.955504952850106,802656000000,11.777277932110032,8.61711509699223,6.047228428346038,1,False,35.483039394152016,74.11990487277134,200.82356862219868,8.61711509699223,0,06-09,3.566323911376835
1995-06-10,18.0115920317381,9.137166549964828,2.9033393833018124,0.08195378331966924,13.800173732582689,802742400000,10.602001365752919,8.178077585630644,6.624596824350722,1,False,41.0532899005126,89.90897085098914,204.6641616909173,8.178077585630644,0,06-10,3.0440568499327956
1995-06-11,12.136004536843178,6.7727808210733995,2.9020570150541354,0.12859813528191785,15.475117131597468,802828800000,11.732800145857295,7.7360482531983354,5.941604148225854,1,False,43.821098009834344,93.7079561214749,211.51884543044562,7.7360482531983354,0,06-11,2.381142951176
